0;1;2;3;4;5;6;7;8;9
Kos Andalan;Campur;Kost A&R Residence Tipe A Kebayoran Baru Jakarta Selatan;Kecamatan Kebayoran Baru;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Akses 24 Jam;Rp4.500.000;/bulan;;;
Kos Andalan;Putri;Kost Hj Ros Tipe B Pancoran Jakarta Selatan;Kecamatan Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur;Rp2.400.000;/bulan;;;
Kos Andalan;Campur;Kost Yustin Tipe F Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.500.000;/bulan;;;
Kos Andalan;Putra;Kost Whites Tipe C Pancoran Jakarta Selatan;Kecamatan Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.500.000;/bulan;;;
Kos Andalan;Campur;Kost Jabu Hasian Cipete Lt 2 Cilandak Jakarta Selatan;Kecamatan Cilandak;AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp3.500.000;/bulan;;;
Kos Andalan;Campur;Kost A&R Residence Tipe C Kebayoran Baru Jakarta Selatan;Kecamatan Kebayoran Baru;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp3.500.000;/bulan;;;
Kos Andalan;Putri;Kost Haji Ayyub Tipe B Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kasur;Rp1.300.000;/bulan;;;
Kos Andalan;Putri;Kost Bang Bewok Tipe A Pancoran Jakarta Selatan;Kecamatan Pancoran;K. Mandi Dalam ·AC ·Kasur ·Akses 24 Jam;Rp1.200.000;/bulan;;;
Kos Andalan;Campur;Kost Bangka BnB Tipe A Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur;Rp3.500.000;/bulan;;;
Kos Andalan;Putri;Kost Rumah Amel Tipe AC Pasar Minggu Jakarta Selatan;Pasar Minggu;K. Mandi Dalam ·WiFi ·AC ·Kasur ·Akses 24 Jam;Rp1.500.000;/bulan;;;
Kos Andalan;Putri;Kost Bu Novi Tipe A Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;Kasur ·Akses 24 Jam;Rp730.000;/bulan;;;
Kos Andalan;Campur;Kost Griya TAS Standar Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur;Rp2.600.000;/bulan;;;
Kos Andalan;Putri;Kost Azura Tipe A Cilandak Jakarta Selatan;Cilandak;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur;Rp2.300.000;/bulan;;;
Campur;Sisa 1 kamar;Kost Budibwenk E3 Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;Kloset Duduk ·Kasur;Rp1.300.000;/bulan;;;
Campur;Sisa 1 kamar;Kost Ibu Tri 11 Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.3;Rp900.000;/bulan;;
Campur;Sisa 1 kamar;Rumah Kontrakan Suyani Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·Kloset Duduk ·Akses 24 Jam;Rp2.000.000;/bulan;;;
Campur;Sisa 2 kamar;Kost Ochi Tipe B Pasar Minggu Jakarta Selatan;Pasar Minggu;K. Mandi Dalam ·Kasur ·Akses 24 Jam;Rp850.000;/bulan;;;
Campur;Sisa 4 kamar;Kost Alinson Wijaya Timur Kebayoran Baru Jakarta Selatan;Kebayoran Baru;K. Mandi Dalam ·WiFi ·AC ·Akses 24 Jam;Rp3.600.000;/bulan;;;
Kos Andalan;Campur;Kost Harum 1 Tipe A Kebayoran Baru Jakarta Selatan;Kecamatan Kebayoran Baru;Kasur ·Akses 24 Jam;5.0;Rp650.000;/bulan;;
Kos Andalan;Campur;Kost D Arrasoe Tipe A Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;3.9;Rp1.800.000;/bulan;;
Kos Andalan;Campur;Kost Giri Enam Home Twin Bed Kebayoran Baru Jakarta Selatan;Kecamatan Kebayoran Baru;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.650.000;/bulan;;;
Kos Andalan;Campur;Kost Giri Enam Home Single Bed Window Lt 3 Kebayoran Baru Jakarta Selatan;Kecamatan Kebayoran Baru;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.485.000;/bulan;;;
Kos Andalan;Campur;Kost Mampang Residence 94 Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;4.9;Rp2.900.000;/bulan;;
Kos Andalan;Campur;Kost 37 Syariah Tipe A Pancoran Jakarta Selatan;Kecamatan Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;5.0;Rp2.000.000;/bulan;;
Kos Andalan;Campur;Kost Cemara Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp1.950.000;/bulan;;;
Kos Andalan;Campur;Kost 37 Syariah Tipe B Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·Kloset Duduk ·Kasur ·Akses 24 Jam;3.3;Rp1.300.000;/bulan;;
Kos Andalan;Putri;Kost Mumtaz 1 Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·Kasur;Rp1.050.000;/bulan;;;
Kos Andalan;Putra;Kost Ceria Sekali Tipe A Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam;1.0;Rp1.500.000;/bulan;;
Kos Andalan;Putri;Kost Ceria Sekali Tipe B Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur;Rp1.500.000;/bulan;;;
Kos Andalan;Putri;Kost Pak Rahmani Pancoran Jakarta Selatan;Kecamatan Pancoran;K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam;Rp1.100.000;/bulan;;;
